policyNumber,validity,refundPercent,orderNumber,productId
AS151685,13,70,8033238,2010454
AS151686,10,57,8033258,2010460
AS151687,5,45,8033278,2010466
AS151688,9,44,8033298,2010472
AS151689,13,49,8033318,2010478
AS151690,14,68,8033338,2010484
AS151691,10,65,8033358,2010490
AS151692,9,45,8033378,2010496
AS151693,6,51,8033398,2010502
AS151694,7,56,8033418,2010508
AS151695,8,60,8033438,2010514
AS151696,11,66,8033458,2010520
AS151697,6,41,8033478,2010526
AS151698,9,67,8033498,2010532
AS151699,11,40,8033518,2010538
AS151700,12,50,8033538,2010544
AS151701,10,57,8033558,2010550
AS151702,11,46,8033578,2010556
AS151703,13,70,8033598,2010562
AS151704,7,60,8033618,2010568
AS151705,10,60,8033638,2010574
AS151706,9,65,8033658,2010580
AS151707,11,62,8033678,2010586
AS151708,12,70,8033698,2010592
AS151709,11,67,8033718,2010598
AS151710,14,60,8033738,2010604
AS151711,11,66,8033758,2010610
AS151712,10,45,8033778,2010616
AS151713,13,59,8033798,2010622
AS151714,7,57,8033818,2010628
AS151715,8,58,8033838,2010634
AS151716,9,43,8033858,2010640
AS151717,14,51,8033878,2010646
AS151718,12,44,8033898,2010652
AS151719,12,42,8033918,2010658
AS151720,12,63,8033938,2010664
AS151721,7,59,8033958,2010670
AS151722,5,48,8033978,2010676
AS151723,13,45,8033998,2010682
AS151724,8,64,8034018,2010688
AS151725,9,62,8034038,2010694
AS151726,13,64,8034058,2010700
AS151727,8,62,8034078,2010706
AS151728,7,49,8034098,2010712
AS151729,9,53,8034118,2010718
AS151730,6,43,8034138,2010724
AS151731,9,69,8034158,2010730
AS151732,5,56,8034178,2010736
AS151733,8,42,8034198,2010742
AS151734,11,68,8034218,2010748
AS151735,9,48,8034238,2010754
AS151736,14,62,8034258,2010760
AS151737,11,70,8034278,2010766
AS151738,13,65,8034298,2010772
AS151739,6,70,8034318,2010778
AS151740,7,65,8034338,2010784
AS151741,7,65,8034358,2010790
AS151742,14,57,8034378,2010796
AS151743,11,65,8034398,2010802
AS151744,6,40,8034418,2010808
AS151745,13,54,8034438,2010814
AS151746,12,69,8034458,2010820
AS151747,11,69,8034478,2010826
AS151748,8,52,8034498,2010832
AS151749,13,51,8034518,2010838
AS151750,7,55,8034538,2010844
AS151751,9,40,8034558,2010850
AS151752,7,44,8034578,2010856
AS151753,9,68,8034598,2010862
AS151754,5,40,8034618,2010868
AS151755,13,50,8034638,2010874
AS151756,5,53,8034658,2010880
AS151757,14,65,8034678,2010886
AS151758,6,57,8034698,2010892
AS151759,7,60,8034718,2010898
AS151760,10,60,8034738,2010904
AS151761,13,62,8034758,2010910
AS151762,13,50,8034778,2010916
AS151763,13,45,8034798,2010922
AS151764,12,63,8034818,2010928
AS151765,5,63,8034838,2010934
AS151766,13,65,8034858,2010940
AS151767,9,60,8034878,2010946
AS151768,9,60,8034898,2010952
AS151769,11,57,8034918,2010958
AS151770,11,50,8034938,2010964
AS151771,6,44,8034958,2010970
AS151772,8,63,8034978,2010976
AS151773,11,51,8034998,2010982
AS151774,13,47,8035018,2010988
AS151775,8,67,8035038,2010994
AS151776,6,50,8035058,2011000
AS151777,8,40,8035078,2011006
AS151778,5,47,8035098,2011012
AS151779,14,48,8035118,2011018
AS151780,7,50,8035138,2011024
AS151781,6,43,8035158,2011030
AS151782,12,55,8035178,2011036
AS151783,8,40,8035198,2011042
AS151784,6,41,8035218,2011048
AS151785,5,57,8035238,2011054
AS151786,6,43,8035258,2011060
AS151787,7,70,8035278,2011066
AS151788,11,44,8035298,2011072
AS151789,7,44,8035318,2011078
AS151790,7,42,8035338,2011084
AS151791,9,48,8035358,2011090
AS151792,12,52,8035378,2011096
AS151793,6,56,8035398,2011102
AS151794,11,40,8035418,2011108
AS151795,14,68,8035438,2011114
AS151796,5,61,8035458,2011120
AS151797,5,53,8035478,2011126
AS151798,9,69,8035498,2011132
AS151799,7,60,8035518,2011138
AS151800,7,46,8035538,2011144
AS151801,5,64,8035558,2011150
AS151802,12,48,8035578,2011156
AS151803,5,47,8035598,2011162
AS151804,7,43,8035618,2011168
AS151805,9,67,8035638,2011174
AS151806,6,61,8035658,2011180
AS151807,13,49,8035678,2011186
AS151808,11,50,8035698,2011192
AS151809,10,66,8035718,2011198
AS151810,6,45,8035738,2011204
AS151811,6,60,8035758,2011210
AS151812,6,65,8035778,2011216
AS151813,6,51,8035798,2011222
AS151814,10,56,8035818,2011228
AS151815,7,54,8035838,2011234
AS151816,7,56,8035858,2011240
AS151817,6,47,8035878,2011246
AS151818,12,42,8035898,2011252
AS151819,14,40,8035918,2011258
AS151820,5,61,8035938,2011264
AS151821,12,46,8035958,2011270
AS151822,6,45,8035978,2011276
AS151823,6,60,8035998,2011282
AS151824,6,58,8036018,2011288
AS151825,14,67,8036038,2011294
AS151826,12,41,8036058,2011300
AS151827,9,55,8036078,2011306
AS151828,10,63,8036098,2011312
AS151829,9,53,8036118,2011318
AS151830,5,61,8036138,2011324
AS151831,7,54,8036158,2011330
AS151832,6,70,8036178,2011336
AS151833,12,43,8036198,2011342
AS151834,5,46,8036218,2011348
AS151835,13,61,8036238,2011354
AS151836,10,47,8036258,2011360
AS151837,13,53,8036278,2011366
AS151838,6,59,8036298,2011372
AS151839,9,42,8036318,2011378
AS151840,11,44,8036338,2011384
AS151841,5,51,8036358,2011390
AS151842,12,51,8036378,2011396
AS151843,14,46,8036398,2011402
AS151844,10,62,8036418,2011408
AS151845,6,47,8036438,2011414
AS151846,11,51,8036458,2011420
AS151847,10,42,8036478,2011426
AS151848,9,69,8036498,2011432
AS151849,12,56,8036518,2011438
AS151850,5,65,8036538,2011444
AS151851,10,43,8036558,2011450
AS151852,9,48,8036578,2011456
AS151853,10,60,8036598,2011462
AS151854,7,63,8036618,2011468
AS151855,10,43,8036638,2011474
AS151856,12,44,8036658,2011480
AS151857,10,69,8036678,2011486
AS151858,13,41,8036698,2011492
AS151859,10,43,8036718,2011498
AS151860,7,52,8036738,2011504
AS151861,8,45,8036758,2011510
AS151862,12,49,8036778,2011516
AS151863,14,66,8036798,2011522
AS151864,14,59,8036818,2011528
AS151865,7,46,8036838,2011534
AS151866,14,60,8036858,2011540
AS151867,9,65,8036878,2011546
AS151868,12,65,8036898,2011552
AS151869,7,52,8036918,2011558
AS151870,6,58,8036938,2011564
AS151871,6,50,8036958,2011570
AS151872,10,62,8036978,2011576
AS151873,5,48,8036998,2011582
AS151874,11,42,8037018,2011588
AS151875,5,42,8037038,2011594
AS151876,7,55,8037058,2011600
AS151877,6,56,8037078,2011606
AS151878,10,60,8037098,2011612
AS151879,5,50,8037118,2011618
AS151880,8,68,8037138,2011624
AS151881,10,51,8037158,2011630
AS151882,7,40,8037178,2011636
AS151883,7,57,8037198,2011642
AS151884,14,49,8037218,2011648
AS151885,14,54,8037238,2011654
AS151886,9,49,8037258,2011660
AS151887,11,69,8037278,2011666
AS151888,8,60,8037298,2011672
AS151889,10,55,8037318,2011678
AS151890,7,50,8037338,2011684
AS151891,12,41,8037358,2011690
AS151892,11,62,8037378,2011696
AS151893,12,62,8037398,2011702
AS151894,14,58,8037418,2011708
AS151895,14,67,8037438,2011714
AS151896,10,56,8037458,2011720
AS151897,8,43,8037478,2011726
AS151898,11,45,8037498,2011732
AS151899,14,42,8037518,2011738
AS151900,8,48,8037538,2011744
AS151901,8,52,8037558,2011750
AS151902,5,54,8037578,2011756
AS151903,9,57,8037598,2011762
AS151904,10,62,8037618,2011768
AS151905,10,68,8037638,2011774
AS151906,8,49,8037658,2011780
AS151907,5,54,8037678,2011786
AS151908,6,49,8037698,2011792
AS151909,14,66,8037718,2011798
AS151910,7,55,8037738,2011804
AS151911,7,48,8037758,2011810
AS151912,13,45,8037778,2011816
AS151913,9,65,8037798,2011822
AS151914,14,48,8037818,2011828
AS151915,10,53,8037838,2011834
AS151916,8,66,8037858,2011840
AS151917,11,47,8037878,2011846
AS151918,10,69,8037898,2011852
AS151919,6,46,8037918,2011858
AS151920,14,60,8037938,2011864
AS151921,8,49,8037958,2011870
AS151922,8,54,8037978,2011876
AS151923,14,42,8037998,2011882
AS151924,11,61,8038018,2011888
AS151925,5,62,8038038,2011894
AS151926,13,62,8038058,2011900
AS151927,7,48,8038078,2011906
AS151928,12,70,8038098,2011912
AS151929,10,61,8038118,2011918
AS151930,13,46,8038138,2011924
AS151931,8,57,8038158,2011930
AS151932,12,43,8038178,2011936
AS151933,8,68,8038198,2011942
AS151934,5,57,8038218,2011948
AS151935,13,56,8038238,2011954
AS151936,11,40,8038258,2011960
AS151937,7,57,8038278,2011966
AS151938,10,52,8038298,2011972
AS151939,8,51,8038318,2011978
AS151940,12,68,8038338,2011984
AS151941,12,64,8038358,2011990
AS151942,13,65,8038378,2011996
AS151943,13,49,8038398,2012002
AS151944,6,64,8038418,2012008
AS151945,5,64,8038438,2012014
AS151946,10,56,8038458,2012020
AS151947,8,51,8038478,2012026
AS151948,6,45,8038498,2012032
AS151949,10,65,8038518,2012038
AS151950,9,52,8038538,2012044
AS151951,9,67,8038558,2012050
AS151952,13,66,8038578,2012056
AS151953,10,70,8038598,2012062
AS151954,12,44,8038618,2012068
AS151955,12,65,8038638,2012074
AS151956,14,41,8038658,2012080
AS151957,5,45,8038678,2012086
AS151958,14,68,8038698,2012092
AS151959,8,42,8038718,2012098
AS151960,12,62,8038738,2012104
AS151961,14,63,8038758,2012110
AS151962,5,45,8038778,2012116
AS151963,6,65,8038798,2012122
AS151964,10,69,8038818,2012128
AS151965,12,48,8038838,2012134
AS151966,12,44,8038858,2012140
AS151967,7,58,8038878,2012146
AS151968,8,56,8038898,2012152
AS151969,11,58,8038918,2012158
AS151970,9,40,8038938,2012164
AS151971,8,55,8038958,2012170
AS151972,7,52,8038978,2012176
AS151973,5,52,8038998,2012182
AS151974,6,60,8039018,2012188
AS151975,12,65,8039038,2012194
AS151976,5,58,8039058,2012200
AS151977,7,44,8039078,2012206
AS151978,12,63,8039098,2012212
AS151979,5,41,8039118,2012218
AS151980,12,63,8039138,2012224
AS151981,5,66,8039158,2012230
AS151982,13,53,8039178,2012236
AS151983,9,64,8039198,2012242
AS151984,5,54,8039218,2012248
AS151985,7,61,8039238,2012254
AS151986,8,44,8039258,2012260
AS151987,14,45,8039278,2012266
AS151988,8,67,8039298,2012272
AS151989,9,47,8039318,2012278
AS151990,5,54,8039338,2012284
AS151991,10,59,8039358,2012290
AS151992,12,40,8039378,2012296
AS151993,5,70,8039398,2012302
AS151994,12,46,8039418,2012308
AS151995,6,43,8039438,2012314
AS151996,5,54,8039458,2012320
AS151997,9,61,8039478,2012326
AS151998,7,51,8039498,2012332
AS151999,11,56,8039518,2012338
AS152000,10,53,8039538,2012344
AS152001,13,66,8039558,2012350
AS152002,5,45,8039578,2012356
AS152003,5,54,8039598,2012362
AS152004,5,66,8039618,2012368
AS152005,13,51,8039638,2012374
AS152006,6,44,8039658,2012380
AS152007,12,50,8039678,2012386
AS152008,10,56,8039698,2012392
AS152009,11,51,8039718,2012398
AS152010,9,55,8039738,2012404
AS152011,7,41,8039758,2012410
AS152012,14,49,8039778,2012416
AS152013,7,70,8039798,2012422
AS152014,12,64,8039818,2012428
AS152015,11,70,8039838,2012434
AS152016,13,47,8039858,2012440
AS152017,7,44,8039878,2012446
AS152018,7,57,8039898,2012452
AS152019,9,65,8039918,2012458
AS152020,7,48,8039938,2012464
AS152021,10,53,8039958,2012470
AS152022,10,67,8039978,2012476
AS152023,5,65,8039998,2012482
AS152024,11,60,8040018,2012488
AS152025,8,61,8040038,2012494
AS152026,12,70,8040058,2012500
AS152027,11,64,8040078,2012506
AS152028,9,65,8040098,2012512
AS152029,11,58,8040118,2012518
AS152030,14,66,8040138,2012524
AS152031,9,57,8040158,2012530
AS152032,5,59,8040178,2012536
AS152033,10,44,8040198,2012542
AS152034,10,41,8040218,2012548
AS152035,14,68,8040238,2012554
AS152036,7,56,8040258,2012560
AS152037,8,41,8040278,2012566
AS152038,14,52,8040298,2012572
AS152039,12,52,8040318,2012578
AS152040,10,61,8040338,2012584
AS152041,14,70,8040358,2012590
AS152042,12,70,8040378,2012596
AS152043,7,54,8040398,2012602
AS152044,10,63,8040418,2012608
AS152045,9,41,8040438,2012614
AS152046,5,63,8040458,2012620
AS152047,7,51,8040478,2012626
AS152048,6,69,8040498,2012632
AS152049,9,60,8040518,2012638
AS152050,6,48,8040538,2012644
AS152051,8,40,8040558,2012650
AS152052,10,68,8040578,2012656
AS152053,11,58,8040598,2012662
AS152054,12,63,8040618,2012668
AS152055,12,58,8040638,2012674
AS152056,10,40,8040658,2012680
AS152057,14,62,8040678,2012686
AS152058,12,40,8040698,2012692
AS152059,8,57,8040718,2012698
AS152060,5,44,8040738,2012704
AS152061,13,68,8040758,2012710
AS152062,12,65,8040778,2012716
AS152063,10,50,8040798,2012722
AS152064,7,50,8040818,2012728
AS152065,10,40,8040838,2012734
AS152066,5,69,8040858,2012740
AS152067,7,54,8040878,2012746
AS152068,8,61,8040898,2012752
AS152069,14,58,8040918,2012758
AS152070,7,42,8040938,2012764
AS152071,14,52,8040958,2012770
AS152072,14,41,8040978,2012776
AS152073,9,42,8040998,2012782
AS152074,13,65,8041018,2012788
AS152075,11,59,8041038,2012794
AS152076,10,52,8041058,2012800
AS152077,13,62,8041078,2012806
AS152078,12,64,8041098,2012812
AS152079,5,60,8041118,2012818
AS152080,13,45,8041138,2012824
AS152081,5,42,8041158,2012830
AS152082,12,42,8041178,2012836
AS152083,13,49,8041198,2012842
AS152084,6,70,8041218,2012848
AS152085,8,47,8041238,2012854
AS152086,14,62,8041258,2012860
AS152087,11,53,8041278,2012866
AS152088,5,66,8041298,2012872
AS152089,6,58,8041318,2012878
AS152090,5,40,8041338,2012884
AS152091,13,64,8041358,2012890
AS152092,8,48,8041378,2012896
AS152093,5,45,8041398,2012902
AS152094,12,65,8041418,2012908
AS152095,9,54,8041438,2012914
AS152096,6,69,8041458,2012920
AS152097,13,69,8041478,2012926
AS152098,14,70,8041498,2012932
AS152099,5,55,8041518,2012938
AS152100,12,46,8041538,2012944
AS152101,14,51,8041558,2012950
AS152102,5,49,8041578,2012956
AS152103,14,70,8041598,2012962
AS152104,5,66,8041618,2012968
AS152105,9,60,8041638,2012974
AS152106,5,63,8041658,2012980
AS152107,9,64,8041678,2012986
AS152108,10,50,8041698,2012992
AS152109,13,53,8041718,2012998
AS152110,9,64,8041738,2013004
AS152111,5,53,8041758,2013010
AS152112,6,44,8041778,2013016
AS152113,10,51,8041798,2013022
AS152114,6,63,8041818,2013028
AS152115,14,49,8041838,2013034
AS152116,13,58,8041858,2013040
AS152117,11,43,8041878,2013046
AS152118,5,40,8041898,2013052
AS152119,13,46,8041918,2013058
AS152120,5,69,8041938,2013064
AS152121,8,58,8041958,2013070
AS152122,14,60,8041978,2013076
AS152123,11,56,8041998,2013082
AS152124,6,62,8042018,2013088
AS152125,10,69,8042038,2013094
AS152126,12,55,8042058,2013100
AS152127,6,65,8042078,2013106
AS152128,6,45,8042098,2013112
AS152129,5,56,8042118,2013118
AS152130,7,67,8042138,2013124
AS152131,14,69,8042158,2013130
AS152132,10,66,8042178,2013136
AS152133,6,67,8042198,2013142
AS152134,8,47,8042218,2013148
AS152135,10,68,8042238,2013154
AS152136,10,60,8042258,2013160
AS152137,14,64,8042278,2013166
AS152138,14,60,8042298,2013172
AS152139,8,44,8042318,2013178
AS152140,13,49,8042338,2013184
AS152141,13,51,8042358,2013190
AS152142,11,43,8042378,2013196
AS152143,12,42,8042398,2013202
AS152144,9,60,8042418,2013208
AS152145,12,69,8042438,2013214
AS152146,11,70,8042458,2013220
AS152147,12,63,8042478,2013226
AS152148,8,64,8042498,2013232
AS152149,12,40,8042518,2013238
AS152150,7,63,8042538,2013244
AS152151,11,50,8042558,2013250
AS152152,9,44,8042578,2013256
AS152153,8,66,8042598,2013262
AS152154,14,68,8042618,2013268
AS152155,5,43,8042638,2013274
AS152156,11,45,8042658,2013280
AS152157,10,40,8042678,2013286
AS152158,13,41,8042698,2013292
AS152159,7,60,8042718,2013298
AS152160,7,64,8042738,2013304
AS152161,11,44,8042758,2013310
AS152162,9,50,8042778,2013316
AS152163,14,57,8042798,2013322
AS152164,5,66,8042818,2013328
AS152165,8,52,8042838,2013334
AS152166,13,54,8042858,2013340
AS152167,11,66,8042878,2013346
AS152168,10,42,8042898,2013352
AS152169,14,41,8042918,2013358
AS152170,11,60,8042938,2013364
AS152171,10,66,8042958,2013370
AS152172,7,66,8042978,2013376
AS152173,14,48,8042998,2013382
AS152174,12,50,8043018,2013388
AS152175,10,51,8043038,2013394
AS152176,8,49,8043058,2013400
AS152177,11,64,8043078,2013406
AS152178,8,49,8043098,2013412
AS152179,7,45,8043118,2013418
AS152180,14,41,8043138,2013424
AS152181,6,60,8043158,2013430
AS152182,6,60,8043178,2013436
AS152183,12,60,8043198,2013442
AS152184,5,57,8043218,2013448
AS152185,6,59,8043238,2013454
AS152186,12,43,8043258,2013460
AS152187,10,48,8043278,2013466
AS152188,10,43,8043298,2013472
AS152189,5,47,8043318,2013478
AS152190,7,48,8043338,2013484
AS152191,10,56,8043358,2013490
AS152192,7,43,8043378,2013496
AS152193,11,59,8043398,2013502
AS152194,8,63,8043418,2013508
AS152195,8,66,8043438,2013514
AS152196,11,55,8043458,2013520
AS152197,6,53,8043478,2013526
AS152198,13,40,8043498,2013532
AS152199,9,44,8043518,2013538
AS152200,8,43,8043538,2013544
AS152201,12,52,8043558,2013550
AS152202,14,43,8043578,2013556
AS152203,7,54,8043598,2013562
AS152204,12,51,8043618,2013568
AS152205,13,41,8043638,2013574
AS152206,8,58,8043658,2013580
AS152207,10,52,8043678,2013586
AS152208,11,57,8043698,2013592
AS152209,8,40,8043718,2013598
AS152210,8,42,8043738,2013604
AS152211,8,70,8043758,2013610
AS152212,10,70,8043778,2013616
AS152213,10,58,8043798,2013622
AS152214,13,56,8043818,2013628
AS152215,7,45,8043838,2013634
AS152216,11,63,8043858,2013640
AS152217,10,55,8043878,2013646
AS152218,9,44,8043898,2013652
AS152219,5,48,8043918,2013658
AS152220,12,43,8043938,2013664
AS152221,7,57,8043958,2013670
AS152222,10,50,8043978,2013676
AS152223,6,44,8043998,2013682
AS152224,8,60,8044018,2013688
AS152225,14,46,8044038,2013694
AS152226,5,67,8044058,2013700
AS152227,13,62,8044078,2013706
AS152228,11,55,8044098,2013712
AS152229,6,67,8044118,2013718
AS152230,6,42,8044138,2013724
AS152231,11,68,8044158,2013730
AS152232,9,40,8044178,2013736
AS152233,12,43,8044198,2013742
AS152234,14,57,8044218,2013748
AS152235,12,70,8044238,2013754
AS152236,12,63,8044258,2013760
AS152237,13,57,8044278,2013766
AS152238,13,41,8044298,2013772
AS152239,9,63,8044318,2013778
AS152240,13,57,8044338,2013784
AS152241,12,50,8044358,2013790
AS152242,6,51,8044378,2013796
AS152243,7,47,8044398,2013802
AS152244,11,48,8044418,2013808
AS152245,7,54,8044438,2013814
AS152246,10,49,8044458,2013820
AS152247,14,59,8044478,2013826
AS152248,13,65,8044498,2013832
AS152249,12,59,8044518,2013838
AS152250,14,69,8044538,2013844
AS152251,14,43,8044558,2013850
AS152252,12,50,8044578,2013856
AS152253,14,48,8044598,2013862
AS152254,6,44,8044618,2013868
AS152255,9,66,8044638,2013874
AS152256,7,67,8044658,2013880
AS152257,5,42,8044678,2013886
AS152258,12,48,8044698,2013892
AS152259,14,56,8044718,2013898
AS152260,5,40,8044738,2013904
AS152261,10,67,8044758,2013910
AS152262,6,55,8044778,2013916
AS152263,12,69,8044798,2013922
AS152264,14,65,8044818,2013928
AS152265,12,50,8044838,2013934
AS152266,8,49,8044858,2013940
AS152267,13,67,8044878,2013946
AS152268,13,54,8044898,2013952
AS152269,14,40,8044918,2013958
AS152270,10,58,8044938,2013964
AS152271,7,68,8044958,2013970
AS152272,8,59,8044978,2013976
AS152273,11,54,8044998,2013982
AS152274,5,42,8045018,2013988
AS152275,9,63,8045038,2013994
AS152276,5,43,8045058,2014000
AS152277,12,55,8045078,2014006
AS152278,14,60,8045098,2014012
AS152279,8,46,8045118,2014018
AS152280,11,66,8045138,2014024
AS152281,5,40,8045158,2014030
AS152282,14,57,8045178,2014036
AS152283,12,59,8045198,2014042
AS152284,14,69,8045218,2014048
AS152285,9,60,8045238,2014054
AS152286,6,67,8045258,2014060
AS152287,8,45,8045278,2014066
AS152288,11,68,8045298,2014072
AS152289,11,44,8045318,2014078
AS152290,10,70,8045338,2014084
AS152291,6,50,8045358,2014090
AS152292,12,59,8045378,2014096
AS152293,5,52,8045398,2014102
AS152294,12,42,8045418,2014108
AS152295,7,69,8045438,2014114
AS152296,11,51,8045458,2014120
AS152297,5,52,8045478,2014126
AS152298,9,57,8045498,2014132
AS152299,5,50,8045518,2014138
AS152300,14,61,8045538,2014144
AS152301,14,45,8045558,2014150
AS152302,6,50,8045578,2014156
AS152303,5,64,8045598,2014162
AS152304,11,66,8045618,2014168
AS152305,10,64,8045638,2014174
AS152306,12,52,8045658,2014180
AS152307,9,67,8045678,2014186
AS152308,9,67,8045698,2014192
AS152309,11,62,8045718,2014198
AS152310,7,64,8045738,2014204
AS152311,6,44,8045758,2014210
AS152312,8,58,8045778,2014216
AS152313,7,45,8045798,2014222
AS152314,11,54,8045818,2014228
AS152315,9,68,8045838,2014234
AS152316,11,58,8045858,2014240
AS152317,8,51,8045878,2014246
AS152318,13,58,8045898,2014252
AS152319,10,42,8045918,2014258
AS152320,11,55,8045938,2014264
AS152321,8,51,8045958,2014270
AS152322,5,53,8045978,2014276
AS152323,10,41,8045998,2014282
AS152324,12,64,8046018,2014288
AS152325,8,49,8046038,2014294
AS152326,7,67,8046058,2014300
AS152327,11,62,8046078,2014306
AS152328,9,44,8046098,2014312
AS152329,7,67,8046118,2014318
AS152330,13,67,8046138,2014324
AS152331,6,65,8046158,2014330
AS152332,10,44,8046178,2014336
AS152333,9,62,8046198,2014342
AS152334,6,66,8046218,2014348
AS152335,14,64,8046238,2014354
AS152336,6,45,8046258,2014360
AS152337,8,60,8046278,2014366
AS152338,11,66,8046298,2014372
AS152339,8,43,8046318,2014378
AS152340,13,59,8046338,2014384
AS152341,12,70,8046358,2014390
AS152342,5,56,8046378,2014396
AS152343,8,54,8046398,2014402
AS152344,11,69,8046418,2014408
AS152345,8,68,8046438,2014414
AS152346,9,61,8046458,2014420
AS152347,14,51,8046478,2014426
AS152348,10,57,8046498,2014432
AS152349,12,62,8046518,2014438
AS152350,14,49,8046538,2014444
AS152351,14,53,8046558,2014450
AS152352,8,68,8046578,2014456
AS152353,13,70,8046598,2014462
AS152354,11,49,8046618,2014468
AS152355,14,68,8046638,2014474
AS152356,13,45,8046658,2014480
AS152357,11,49,8046678,2014486
AS152358,9,46,8046698,2014492
AS152359,14,53,8046718,2014498
AS152360,9,50,8046738,2014504
AS152361,14,43,8046758,2014510
AS152362,6,52,8046778,2014516
AS152363,14,63,8046798,2014522
AS152364,11,69,8046818,2014528
AS152365,8,40,8046838,2014534
AS152366,8,61,8046858,2014540
AS152367,6,54,8046878,2014546
AS152368,7,56,8046898,2014552
AS152369,12,45,8046918,2014558
AS152370,14,47,8046938,2014564
AS152371,8,50,8046958,2014570
AS152372,8,67,8046978,2014576
AS152373,9,45,8046998,2014582
AS152374,7,46,8047018,2014588
AS152375,5,57,8047038,2014594
AS152376,13,68,8047058,2014600
AS152377,10,70,8047078,2014606
AS152378,6,68,8047098,2014612
AS152379,10,58,8047118,2014618
AS152380,14,44,8047138,2014624
AS152381,12,50,8047158,2014630
AS152382,10,45,8047178,2014636
AS152383,10,44,8047198,2014642
AS152384,9,60,8047218,2014648
AS152385,11,49,8047238,2014654
AS152386,9,49,8047258,2014660
AS152387,6,65,8047278,2014666
AS152388,7,69,8047298,2014672
AS152389,14,62,8047318,2014678
AS152390,14,54,8047338,2014684
AS152391,10,70,8047358,2014690
AS152392,13,40,8047378,2014696
AS152393,9,56,8047398,2014702
AS152394,6,44,8047418,2014708
AS152395,8,50,8047438,2014714
AS152396,13,43,8047458,2014720
AS152397,9,49,8047478,2014726
AS152398,14,56,8047498,2014732
AS152399,9,54,8047518,2014738
AS152400,8,52,8047538,2014744
AS152401,7,67,8047558,2014750
AS152402,12,59,8047578,2014756
AS152403,7,55,8047598,2014762
AS152404,10,54,8047618,2014768
AS152405,6,60,8047638,2014774
AS152406,6,54,8047658,2014780
AS152407,13,65,8047678,2014786
AS152408,11,44,8047698,2014792
AS152409,11,47,8047718,2014798
AS152410,5,42,8047738,2014804
AS152411,10,40,8047758,2014810
AS152412,14,64,8047778,2014816
AS152413,12,41,8047798,2014822
AS152414,9,46,8047818,2014828
AS152415,13,52,8047838,2014834
AS152416,14,48,8047858,2014840
AS152417,12,59,8047878,2014846
AS152418,6,64,8047898,2014852
AS152419,14,40,8047918,2014858
AS152420,6,69,8047938,2014864
AS152421,11,70,8047958,2014870
AS152422,6,59,8047978,2014876
AS152423,7,60,8047998,2014882
AS152424,13,68,8048018,2014888
AS152425,9,40,8048038,2014894
AS152426,11,47,8048058,2014900
AS152427,5,57,8048078,2014906
AS152428,9,69,8048098,2014912
AS152429,9,65,8048118,2014918
AS152430,11,63,8048138,2014924
AS152431,13,58,8048158,2014930
AS152432,13,68,8048178,2014936
AS152433,11,43,8048198,2014942
AS152434,9,58,8048218,2014948
AS152435,7,55,8048238,2014954
AS152436,8,42,8048258,2014960
AS152437,10,43,8048278,2014966
AS152438,7,43,8048298,2014972
AS152439,14,63,8048318,2014978
AS152440,7,40,8048338,2014984
AS152441,9,70,8048358,2014990
AS152442,11,41,8048378,2014996
AS152443,6,52,8048398,2015002
AS152444,13,48,8048418,2015008
AS152445,7,43,8048438,2015014
AS152446,11,50,8048458,2015020
AS152447,13,66,8048478,2015026
AS152448,10,65,8048498,2015032
AS152449,7,53,8048518,2015038
AS152450,7,41,8048538,2015044
AS152451,6,43,8048558,2015050
AS152452,13,53,8048578,2015056
AS152453,6,52,8048598,2015062
AS152454,6,67,8048618,2015068
AS152455,8,63,8048638,2015074
AS152456,10,47,8048658,2015080
AS152457,7,69,8048678,2015086
AS152458,8,57,8048698,2015092
AS152459,9,52,8048718,2015098
AS152460,14,65,8048738,2015104
AS152461,8,50,8048758,2015110
AS152462,6,42,8048778,2015116
AS152463,5,61,8048798,2015122
AS152464,8,47,8048818,2015128
AS152465,7,54,8048838,2015134
AS152466,13,58,8048858,2015140
AS152467,8,66,8048878,2015146
AS152468,6,67,8048898,2015152
AS152469,11,61,8048918,2015158
AS152470,14,56,8048938,2015164
AS152471,6,68,8048958,2015170
AS152472,14,48,8048978,2015176
AS152473,6,46,8048998,2015182
AS152474,14,67,8049018,2015188
AS152475,13,60,8049038,2015194
AS152476,10,54,8049058,2015200
AS152477,14,64,8049078,2015206
AS152478,7,44,8049098,2015212
AS152479,10,63,8049118,2015218
AS152480,8,54,8049138,2015224
AS152481,13,44,8049158,2015230
AS152482,10,52,8049178,2015236
AS152483,5,52,8049198,2015242
AS152484,12,63,8049218,2015248
AS152485,9,49,8049238,2015254
AS152486,11,46,8049258,2015260
AS152487,5,59,8049278,2015266
AS152488,5,54,8049298,2015272
AS152489,10,46,8049318,2015278
AS152490,6,68,8049338,2015284
AS152491,11,64,8049358,2015290
AS152492,5,67,8049378,2015296
AS152493,13,43,8049398,2015302
AS152494,8,48,8049418,2015308
AS152495,8,57,8049438,2015314
AS152496,9,41,8049458,2015320
AS152497,6,40,8049478,2015326
AS152498,9,58,8049498,2015332
AS152499,10,58,8049518,2015338
AS152500,6,44,8049538,2015344
AS152501,12,45,8049558,2015350
AS152502,9,44,8049578,2015356
AS152503,12,47,8049598,2015362
AS152504,13,42,8049618,2015368
AS152505,14,68,8049638,2015374
AS152506,7,50,8049658,2015380
